stemmested,year,avg education
Favrskov,2007,12.946233243532735
Favrskov,2011,13.05064313775187
Favrskov,2015,13.2273717786761
Favrskov,2019,13.438284848867294
Favrskov,2022,13.613507823791869
Faxe,2007,12.578659539473684
Faxe,2011,12.629729841374752
Faxe,2015,12.707641606591142
Faxe,2019,12.844550497634199
Faxe,2022,12.940467568002575
Fredensborg,2007,13.432725892179196
Fredensborg,2011,13.499716446124763
Fredensborg,2015,13.634898254706195
Fredensborg,2019,13.801035188690177
Fredensborg,2022,13.977467232074018
Fredericia,2007,12.563669805768098
Fredericia,2011,12.649386422595972
Fredericia,2015,12.830975788701394
Fredericia,2019,13.011903021086187
Fredericia,2022,13.139048825426071
Frederiksberg,2007,14.199275592048949
Frederiksberg,2011,14.415642989891664
Frederiksberg,2015,14.735657514450867
Frederiksberg,2019,14.93523131164623
Frederiksberg,2022,14.989069242419912
Frederikshavn,2007,12.41229502460871
Frederikshavn,2011,12.510605048432504
Frederikshavn,2015,12.660532681674566
Frederikshavn,2019,12.797373430747067
Frederikshavn,2022,12.91693931398417
Frederikssund,2007,12.891494871028781
Frederikssund,2011,12.953190708230425
Frederikssund,2015,13.05538368417513
Frederikssund,2019,13.193280578945588
Frederikssund,2022,13.322690669506189
Furesø,2007,13.897045584745069
Furesø,2011,13.963095962669913
Furesø,2015,14.152378894432877
Furesø,2019,14.414409300869021
Furesø,2022,14.566209249137497
Gentofte,2007,14.449081364829397
Gentofte,2011,14.539257774194251
Gentofte,2015,14.744683919887908
Gentofte,2019,14.906139427127211
Gentofte,2022,14.99331206804891
Gladsaxe,2007,13.364462079020962
Gladsaxe,2011,13.491448657370059
Gladsaxe,2015,13.765129714892863
Gladsaxe,2019,14.042044544490379
Gladsaxe,2022,14.180171334858228
Glostrup,2007,12.75765791141469
Glostrup,2011,12.851100811123986
Glostrup,2015,13.058025099075298
Glostrup,2019,13.308093826524036
Glostrup,2022,13.5124709430169
Greve,2007,12.843586348040692
Greve,2011,12.918798496605238
Greve,2015,13.084398393280994
Greve,2019,13.29502293083813
Greve,2022,13.432365233838738
Gribskov,2007,12.906129647626246
Gribskov,2011,12.971877599739575
Gribskov,2015,13.078166421207658
Gribskov,2019,13.186839213308575
Gribskov,2022,13.340547686496695
Guldborgsund,2007,12.506281436154184
Guldborgsund,2011,12.582312105971523
Guldborgsund,2015,12.697253204187458
Guldborgsund,2019,12.822690388589285
Guldborgsund,2022,12.944722072730068
Haderslev,2007,12.570370079974909
Haderslev,2011,12.65580967402734
Haderslev,2015,12.803605514316013
Haderslev,2019,12.917077999566066
Haderslev,2022,12.992802500616929
Halsnæs,2007,12.62953880977082
Halsnæs,2011,12.689025829909808
Halsnæs,2015,12.840065318668652
Halsnæs,2019,12.956086660837462
Halsnæs,2022,13.089950219330671
Hedensted,2007,12.521751218395316
Hedensted,2011,12.59632104853361
Hedensted,2015,12.726104780657865
Hedensted,2019,12.864349198170927
Hedensted,2022,13.001405470279831
Hele landet,2007,12.942201453095521
Hele landet,2011,13.059100997058902
Hele landet,2015,13.275475165485915
Hele landet,2019,13.502434693737031
Hele landet,2022,13.643933646256576
Helsingør,2007,13.064317191462123
Helsingør,2011,13.117231948819379
Helsingør,2015,13.25458374929996
Helsingør,2019,13.4220386287295
Helsingør,2022,13.592781720616237
Herlev,2007,12.85895781916087
Herlev,2011,12.97688591810369
Herlev,2015,13.21293872535926
Herlev,2019,13.41110994434527
Herlev,2022,13.566015440365527
Herning,2007,12.595782831330494
Herning,2011,12.70023811548601
Herning,2015,12.8941417948114
Herning,2019,13.057198847648399
Herning,2022,13.179358566404288
Hillerød,2007,13.448840491387882
Hillerød,2011,13.47596362733536
Hillerød,2015,13.610911560519167
Hillerød,2019,13.75125451184083
Hillerød,2022,13.892641787312085
Hjørring,2007,12.521826314977634
Hjørring,2011,12.622420648141977
Hjørring,2015,12.782172708276551
Hjørring,2019,12.919569503779165
Hjørring,2022,13.035686077403604
Holbæk,2007,12.734820959781581
Holbæk,2011,12.792503402785048
Holbæk,2015,12.914663410937566
Holbæk,2019,13.04856021215728
Holbæk,2022,13.189078218025045
Holstebro,2007,12.694656098184607
