stemmested,year,ratio
Helsingør,2011,2.5379305854007943
Helsingør,2015,2.037266680624225
Helsingør,2019,1.730214163836132
Helsingør,2022,1.1384421318196152
Hillerød,2007,1.1381205978354234
Hillerød,2011,2.243323934317466
Hillerød,2015,1.600532838170589
Hillerød,2019,1.2831279417221648
Hillerød,2022,0.981881507280744
Hørsholm,2007,0.9133363640120676
Hørsholm,2011,1.38854755468174
Hørsholm,2015,1.2029414115578292
Hørsholm,2019,1.1108883096049729
Hørsholm,2022,0.8982518327559816
Rudersdal,2007,1.0859678108002748
Rudersdal,2011,1.5775811640830653
Rudersdal,2015,1.2530293510456871
Rudersdal,2019,1.1723907264949742
Rudersdal,2022,0.8311942305341645
Bornholm,2007,3.3771632762687718
Bornholm,2011,3.1373213033066447
Bornholm,2015,2.363851717446637
Bornholm,2019,1.6283355633536138
Bornholm,2022,0.987734995476023
Region Sjælland,2007,1.738043779372659
Region Sjælland,2011,2.8585359534950223
Region Sjælland,2015,2.0767823434754864
Region Sjælland,2019,1.6328051922918407
Region Sjælland,2022,1.1633312893039196
Greve,2007,1.2684989429175475
Greve,2011,2.244659546061415
Greve,2015,1.7589365323822648
Greve,2019,1.3949156908201075
Greve,2022,1.0473951147470901
Køge,2007,1.638504864311316
Køge,2011,3.1003687586291266
Køge,2015,1.9855021512396833
Køge,2019,1.550069038069564
Køge,2022,1.1134999839553317
Lejre,2007,1.0186821035221592
Lejre,2011,1.8499944277276272
Lejre,2015,1.4072635320848756
Lejre,2019,1.203061042890194
Lejre,2022,1.0046261133743009
Roskilde,2007,1.2021763109298895
Roskilde,2011,2.1416010214160104
Roskilde,2015,1.8579095025784897
Roskilde,2019,1.466540267038251
Roskilde,2022,1.1343032768761332
Solrød,2007,1.3825328773062286
Solrød,2011,2.1730896695388693
Solrød,2015,1.5191271923767435
Solrød,2019,1.124612202688728
Solrød,2022,0.9195786657749541
Faxe,2007,1.5811169461855554
Faxe,2011,3.0208392481971496
Faxe,2015,2.118620223960385
Faxe,2019,1.6757940854326396
Faxe,2022,1.2187592279401895
Guldborgsund,2007,1.8757087060602242
Guldborgsund,2011,2.923740449383753
Guldborgsund,2015,2.203164276208783
Guldborgsund,2019,1.8534674326348537
Guldborgsund,2022,1.1991519809195708
Holbæk,2007,1.682364874655847
Holbæk,2011,2.536257975314332
Holbæk,2015,1.8532054865201875
Holbæk,2019,1.4218540080609046
Holbæk,2022,0.9692987239611736
Kalundborg,2007,1.8294031320989887
Kalundborg,2011,2.8381592978426706
Kalundborg,2015,1.9709288001970928
Kalundborg,2019,1.578600280273679
Kalundborg,2022,1.1507479861910241
Lolland,2007,2.6524813870051225
Lolland,2011,3.853424777982942
Lolland,2015,2.463561284888754
Lolland,2019,1.8477260618976123
Lolland,2022,1.2431352970544183
Næstved,2007,1.807213991973443
Næstved,2011,3.164252102708511
Næstved,2015,2.322666991118141
Næstved,2019,1.7894078599259224
Næstved,2022,1.3007284079084287
Odsherred,2007,1.6481028705967582
Odsherred,2011,2.9501681442983796
Odsherred,2015,2.172191079697782
Odsherred,2019,1.6582595825656206
Odsherred,2022,1.0227238343066356
Ringsted,2007,1.6515019319456563
Ringsted,2011,2.900610973322848
Ringsted,2015,2.0279802492358336
Ringsted,2019,1.6315138261445055
Ringsted,2022,1.2624640393263133
Slagelse,2007,2.2748105400415715
Slagelse,2011,3.7307548121049163
Slagelse,2015,2.693914272861641
Slagelse,2019,1.9180857124770525
Slagelse,2022,1.3562081272306055
Sorø,2007,1.5352981494174092
Sorø,2011,2.758503401360544
Sorø,2015,1.977075420510038
Sorø,2019,1.6540547780084376
Sorø,2022,1.1666336175556877
Stevns,2007,1.690115110542664
Stevns,2011,2.821990486644713
Stevns,2015,1.903090835470374
Stevns,2019,1.57260178228202
Stevns,2022,1.1592255029610652
Vordingborg,2007,2.0665236051502145
Vordingborg,2011,2.686989657049537
Vordingborg,2015,2.133012469919055
Vordingborg,2019,1.9332778045679715
Vordingborg,2022,1.2451875481245187
Region Syddanmark,2007,1.6639057672524127
Region Syddanmark,2011,2.8166294173710735
Region Syddanmark,2015,2.0760193572321506
Region Syddanmark,2019,1.6762889596648076
Region Syddanmark,2022,1.108877976532145
Assens,2007,1.8262234270223998
Assens,2011,3.2859658857873533
Assens,2015,2.2379899399800744
Assens,2019,1.6220165611300537
Assens,2022,0.9850535196157316
Faaborg-Midtfyn,2007,1.720885466794995
Faaborg-Midtfyn,2011,2.9593118778389873
Faaborg-Midtfyn,2015,2.0152856779843233
Faaborg-Midtfyn,2019,1.634798122794089
Faaborg-Midtfyn,2022,1.0107597000326052
Kerteminde,2007,1.77316969953449
Kerteminde,2011,3.7320977253580456
Kerteminde,2015,2.088050314465409
Kerteminde,2019,1.6898566564378494
Kerteminde,2022,1.0430518617021276
Langeland,2007,2.2778545957353904
Langeland,2011,3.135225629708546
Langeland,2015,2.0743577469283547
Langeland,2019,1.6873250699720113
Langeland,2022,1.2586735517185734
Middelfart,2007,1.4460481837205559
Middelfart,2011,2.3218041909630696
Middelfart,2015,1.3709485696172439
Middelfart,2019,1.3429219507165686
Middelfart,2022,0.8601720344068814
Nordfyns,2007,1.9205972175093315
Nordfyns,2011,3.4166553457410678
Nordfyns,2015,2.25571618989029
Nordfyns,2019,1.9106566200215285
Nordfyns,2022,1.250796418631166
Nyborg,2007,1.6483690321764166
Nyborg,2011,3.110321188269646
Nyborg,2015,1.9428787353969204
Nyborg,2019,1.634834797286737
Nyborg,2022,1.0855703132290273
Odense,2007,2.449018894571288
Odense,2011,3.543364681295716
Odense,2015,2.8233590733590734
Odense,2019,2.1763591284821504
Odense,2022,1.531894004292961
Svendborg,2007,2.230691056910569
Svendborg,2011,3.028390090766396
Svendborg,2015,2.219702436174965
Svendborg,2019,1.7833632555356074
Svendborg,2022,1.2553982123129457
Ærø,2007,1.7133492252681763
Ærø,2011,1.7142857142857142
Ærø,2015,1.479478205536112
Ærø,2019,1.5025041736227045
Ærø,2022,0.6977903306197043
Billund,2007,0.9969061533172912
Billund,2011,1.7737259688739702
Billund,2015,1.5025611838360842
Billund,2019,1.1873003945143716
Billund,2022,0.6973035124809911
Esbjerg,2007,1.3637477679352963
Esbjerg,2011,2.4784276958869387
Esbjerg,2015,2.049127175576479
Esbjerg,2019,1.5852550512698482
Esbjerg,2022,1.120363491871534
Fanø,2007,1.3784461152882206
Fanø,2011,1.8226753166512202
Fanø,2015,1.730944427573641
Fanø,2019,1.605965012905076
Fanø,2022,1.1098130841121496
Fredericia,2007,1.6901522350039424
Fredericia,2011,3.1008987823591543
Fredericia,2015,2.2531595576619274
Fredericia,2019,1.9719953325554258
Fredericia,2022,1.2271941617053965
Haderslev,2007,1.6697982770234339
Haderslev,2011,2.773472986693742
Haderslev,2015,1.9100662275299451
Haderslev,2019,1.586959256663252
Haderslev,2022,1.0822706037266185
Kolding,2007,1.3510896435447306
Kolding,2011,2.64394041068313
Kolding,2015,1.9884190975636404
Kolding,2019,1.669132308483952
Kolding,2022,1.105703100201037
Sønderborg,2007,1.405484118419513
Sønderborg,2011,2.5343535495386713
Sønderborg,2015,1.8808231114685972
Sønderborg,2019,1.5788126574434551
Sønderborg,2022,0.9433708349033751
Tønder,2007,1.746476081948126
Tønder,2011,2.7549194991055455
Tønder,2015,1.7702150112122412
Tønder,2019,1.5054280977592385
Tønder,2022,0.801668336809035
Varde,2007,0.971571072319202
Varde,2011,1.9963340771437679
Varde,2015,1.4181289461628857
Varde,2019,1.2092334180864481
Varde,2022,0.812308677297373
Vejen,2007,0.9447075176101962
Vejen,2011,2.1655246603213207
Vejen,2015,1.646388454263095
Vejen,2019,1.2762569374517012
Vejen,2022,0.700558111295332
Vejle,2007,1.1702705535913391
Vejle,2011,2.384286522428615
Vejle,2015,1.8345000897504937
Vejle,2019,1.5101977269188853
Vejle,2022,1.0398872211626171
Aabenraa,2007,1.859143697353337
Aabenraa,2011,2.9357029088775253
Aabenraa,2015,2.087296195652174
Aabenraa,2019,1.5192242259271862
Aabenraa,2022,0.9692286837467805
Region Midtjylland,2007,1.5119951561831824
Region Midtjylland,2011,2.552384203236249
Region Midtjylland,2015,1.8510532709115444
Region Midtjylland,2019,1.6605459438561534
Region Midtjylland,2022,1.1420052268247483
Favrskov,2007,1.177528286992369
Favrskov,2011,2.1378680763433326
Favrskov,2015,1.4471719147683053
Favrskov,2019,1.1858524088918272
Favrskov,2022,0.9285220854159048
Hedensted,2007,0.8186826452448366
Hedensted,2011,1.955040576313848
Hedensted,2015,1.4661678524317194
Hedensted,2019,1.2188068972903503
Hedensted,2022,0.7615281050151465
Horsens,2007,1.1847394571920802
Horsens,2011,2.946125922542491
Horsens,2015,1.9234065896389756
Horsens,2019,1.6309586400280407
Horsens,2022,1.1020085665571588
Norddjurs,2007,2.1176226640055984
Norddjurs,2011,2.723673792557403
Norddjurs,2015,1.9154678615412835
Norddjurs,2019,1.9245182012847966
Norddjurs,2022,1.162320325773307
Odder,2007,1.4238011316204433
Odder,2011,2.2512608895002293
Odder,2015,1.3905245040311622
Odder,2019,1.3345585017939967
Odder,2022,0.9500381711765205
Randers,2007,1.673358677544744
Randers,2011,2.9118597621562823
Randers,2015,2.1835947544355876
Randers,2019,1.7959667368162966
Randers,2022,1.2636553885590123
Samsø,2007,2.3990208078335375
Samsø,2011,2.547606793618116
Samsø,2015,2.0894722743102063
Samsø,2019,1.8826739427012278
Samsø,2022,1.2424002114723764
Silkeborg,2007,1.4741733527142873
Silkeborg,2011,2.6836459022274037
Silkeborg,2015,1.9030548455980791
Silkeborg,2019,1.5194813503657418
Silkeborg,2022,0.9976697501286177
Skanderborg,2007,1.2561558775248018
Skanderborg,2011,1.8798676683437867
Skanderborg,2015,1.2824834001820082
Skanderborg,2019,1.1347812865122682
Skanderborg,2022,0.8409174763251752
Syddjurs,2007,1.8604200479639543
Syddjurs,2011,2.4789835689721054
Syddjurs,2015,1.5613825983313467
Syddjurs,2019,1.4566269545793
Syddjurs,2022,1.0545372256166554
Aarhus,2007,2.0536749090568036
Aarhus,2011,2.603583070184374
Aarhus,2015,2.2216642515950062
Aarhus,2019,2.2115739034279396
Aarhus,2022,1.6049133164055036
Herning,2007,1.2136614098422953
Herning,2011,2.5590528376640678
Herning,2015,1.8138747110388866
Herning,2019,1.6018409384295897
Herning,2022,0.8828991115410704
Holstebro,2007,1.1294282707821817
Holstebro,2011,2.4586429272395907
Holstebro,2015,1.547896181508634
Holstebro,2019,1.2857289212170884
Holstebro,2022,0.7748520659895896
Ikast-Brande,2007,1.564184192715514
Ikast-Brande,2011,2.97422502587354
Ikast-Brande,2015,2.031265314123297
Ikast-Brande,2019,1.5154435503300727
Ikast-Brande,2022,0.9026798307475318
Lemvig,2007,1.5135723025331944
Lemvig,2011,2.2257551669316373
Lemvig,2015,1.2844932844932846
Lemvig,2019,1.240631962730403
Lemvig,2022,0.9957178971263478
Ringkøbing-Skjern,2007,0.9114583333333334
Ringkøbing-Skjern,2011,2.3091935957443135
Ringkøbing-Skjern,2015,1.4064525169019513
Ringkøbing-Skjern,2019,1.2274380982656918
Ringkøbing-Skjern,2022,0.7562980453423758
Skive,2007,1.2201174621556787
