stemmested,year,percentage
Jammerbugt,2015,75.4701816428227
Jammerbugt,2019,76.49581589958159
Jammerbugt,2022,77.5436046511628
Kalundborg,2007,68.10673443456162
Kalundborg,2011,68.91384254958194
Kalundborg,2015,69.72962226640159
Kalundborg,2019,71.42190961022811
Kalundborg,2022,72.69859588382381
Kerteminde,2007,70.7871246956992
Kerteminde,2011,72.92764313312259
Kerteminde,2015,72.5851669356894
Kerteminde,2019,73.78270950645908
Kerteminde,2022,75.40413837698028
Kolding,2007,65.57531061371162
Kolding,2011,66.70082200514608
Kolding,2015,67.81601588352085
Kolding,2019,69.56327321508422
Kolding,2022,71.31730870158496
København,2007,28.51825969270466
København,2011,27.953268527601892
København,2015,28.771071219107004
København,2019,29.48057274768498
København,2022,30.514758956046045
Køge,2007,65.05797319680771
Køge,2011,66.2758646036238
Køge,2015,66.13670851151883
Køge,2019,67.52357320099256
Køge,2022,68.60476236014154
Landsdel Bornholm,2007,62.25028184892898
Landsdel Bornholm,2011,63.32181504046558
Landsdel Bornholm,2015,64.29758168728078
Landsdel Bornholm,2019,66.45849478050782
Landsdel Bornholm,2022,69.11060948081264
Landsdel Byen København,2007,31.657992192973676
Landsdel Byen København,2011,31.05626137729287
Landsdel Byen København,2015,31.833123819383292
Landsdel Byen København,2019,32.442190539980224
Landsdel Byen København,2022,33.434592159968325
Landsdel Fyn,2007,61.46256529309344
Landsdel Fyn,2011,63.39377116706657
Landsdel Fyn,2015,63.82352133829521
Landsdel Fyn,2019,64.64514378525857
Landsdel Fyn,2022,66.39538675916867
Landsdel Københavns omegn,2007,54.18489982183603
Landsdel Københavns omegn,2011,54.95986620799476
Landsdel Københavns omegn,2015,55.9581565139704
Landsdel Københavns omegn,2019,56.597689367245394
Landsdel Københavns omegn,2022,57.89672901618144
Landsdel Nordjylland,2007,63.70794334523255
Landsdel Nordjylland,2011,65.23547463525861
Landsdel Nordjylland,2015,66.01952068674547
Landsdel Nordjylland,2019,67.50899841860675
Landsdel Nordjylland,2022,68.58653567781323
Landsdel Nordsjælland,2007,67.52976934767135
Landsdel Nordsjælland,2011,68.01165584293705
Landsdel Nordsjælland,2015,68.9663797141389
Landsdel Nordsjælland,2019,69.57942925971345
Landsdel Nordsjælland,2022,71.05641886682544
Landsdel Sydjylland,2007,67.37714089242944
Landsdel Sydjylland,2011,68.72470617782876
Landsdel Sydjylland,2015,69.89317174781729
Landsdel Sydjylland,2019,71.5388858246001
Landsdel Sydjylland,2022,72.66004981346674
Landsdel Vest- og Sydsjælland,2007,65.12859355701583
Landsdel Vest- og Sydsjælland,2011,66.36363636363637
Landsdel Vest- og Sydsjælland,2015,67.07856708847383
Landsdel Vest- og Sydsjælland,2019,68.60461775662449
Landsdel Vest- og Sydsjælland,2022,70.307469262488
Landsdel Vestjylland,2007,69.44907596920896
Landsdel Vestjylland,2011,70.761227928786
Landsdel Vestjylland,2015,71.91000997544505
Landsdel Vestjylland,2019,73.14583372194967
Landsdel Vestjylland,2022,74.48187007037701
Landsdel Østjylland,2007,59.775833178179106
Landsdel Østjylland,2011,60.57247334441713
Landsdel Østjylland,2015,61.7909365010995
Landsdel Østjylland,2019,62.78483356804783
Landsdel Østjylland,2022,64.20306666334056
Landsdel Østsjælland,2007,66.57304917671678
Landsdel Østsjælland,2011,67.23066174626491
Landsdel Østsjælland,2015,67.32912902675984
Landsdel Østsjælland,2019,68.55203249369451
Landsdel Østsjælland,2022,69.84105528477264
Langeland,2007,62.68980477223427
Langeland,2011,65.04639246641739
Langeland,2015,66.2756183745583
Langeland,2019,68.0066307501036
Langeland,2022,68.91220320265047
Lejre,2007,76.81669816182787
Lejre,2011,77.8363453815261
Lejre,2015,77.52978554408261
Lejre,2019,78.04204388522326
Lejre,2022,78.74926340601061
Lemvig,2007,70.2144024613018
Lemvig,2011,72.43327488797974
Lemvig,2015,74.47414979359151
Lemvig,2019,75.69437580310368
Lemvig,2022,76.79935665460394
Lolland,2007,60.06633755013885
Lolland,2011,61.75043741052967
Lolland,2015,62.74420529801324
Lolland,2019,64.2773257277074
Lolland,2022,65.58563961956987
Lyngby-Taarbæk,2007,53.049220554272516
Lyngby-Taarbæk,2011,53.70250896057348
Lyngby-Taarbæk,2015,54.8551251427978
Lyngby-Taarbæk,2019,54.891415344815854
Lyngby-Taarbæk,2022,54.41543700340522
Læsø,2007,57.927927927927925
Læsø,2011,60.09302325581395
Læsø,2015,62.63310745401742
Læsø,2019,64.90566037735849
Læsø,2022,65.61922365988909
Mariagerfjord,2007,69.69681883805447
Mariagerfjord,2011,70.90310715322815
Mariagerfjord,2015,72.53584869706064
Mariagerfjord,2019,74.54097522428299
Mariagerfjord,2022,75.1683113529466
Middelfart,2007,71.02064220183486
Middelfart,2011,73.40496603941654
Middelfart,2015,74.45117335352006
Middelfart,2019,76.43258574504964
Middelfart,2022,77.74804342337794
Morsø,2007,68.36006303884305
Morsø,2011,69.52051593606879
Morsø,2015,71.35617081182544
Morsø,2019,73.54856981025205
Morsø,2022,74.06954887218045
Norddjurs,2007,66.53321392825158
Norddjurs,2011,67.56296449215525
Norddjurs,2015,67.80514559234145
Norddjurs,2019,69.52482855892224
Norddjurs,2022,71.19265158547906
Nordfyns,2007,73.33284478968196
Nordfyns,2011,74.6720194996057
