stemmested,year,ratio
Fredensborg,2011,64.83777901503265
Fredensborg,2015,61.84434009391548
Fredensborg,2019,44.31542588373631
Fredensborg,2022,47.443243113657616
Frederikssund,2007,77.32075642827989
Frederikssund,2011,63.104279822406525
Frederikssund,2015,62.68416822930619
Frederikssund,2019,63.67611979856878
Frederikssund,2022,55.832955061280074
Furesø,2007,69.02593782355909
Furesø,2011,75.35124669684205
Furesø,2015,58.62172584764862
Furesø,2019,49.86264070211266
Furesø,2022,50.43781165748097
Gribskov,2007,56.50177725118483
Gribskov,2011,66.90964612012708
Gribskov,2015,75.39470488219577
Gribskov,2019,64.68302161768278
Gribskov,2022,64.58123107971745
Halsnæs,2007,76.56371658447962
Halsnæs,2011,85.65083043646196
Halsnæs,2015,57.89949035546094
Halsnæs,2019,65.24845213525957
Halsnæs,2022,57.72517247927084
Helsingør,2007,111.53112878837683
Helsingør,2011,104.05678192355278
Helsingør,2015,84.87269096355467
Helsingør,2019,77.88355738410755
Helsingør,2022,84.46862188584043
Hillerød,2007,75.80312661054802
Hillerød,2011,120.81190910598772
Hillerød,2015,76.73676987042344
Hillerød,2019,68.3748999082085
Hillerød,2022,74.40068175923524
Hørsholm,2007,67.85965202297805
Hørsholm,2011,68.19857458835095
Hørsholm,2015,72.37630884821357
Hørsholm,2019,91.63825947463405
Hørsholm,2022,95.30331104487232
Rudersdal,2007,60.405799253745194
Rudersdal,2011,75.62518280198888
Rudersdal,2015,68.80890404811058
Rudersdal,2019,66.43547450138188
Rudersdal,2022,53.643459584053645
Bornholm,2007,54.27750659784665
Bornholm,2011,40.4441111729276
Bornholm,2015,45.84057861445024
Bornholm,2019,44.836030395597184
Bornholm,2022,44.96330551925204
Christiansø,2007,10.416666666666666
Christiansø,2011,9.523809523809524
Christiansø,2015,10.526315789473685
Christiansø,2019,0.0
Christiansø,2022,19.41747572815534
Region Sjælland,2007,78.61469050934373
Region Sjælland,2011,87.7491839999218
Region Sjælland,2015,76.86225697517717
Region Sjælland,2019,68.41582774550315
Region Sjælland,2022,62.05532061641022
Greve,2007,83.75023548866514
Greve,2011,99.84145527369826
Greve,2015,78.32130988084623
Greve,2019,69.25043095761755
Greve,2022,66.20547599152756
Køge,2007,84.220562529795
Køge,2011,102.4310106782712
Køge,2015,75.0841243533725
Køge,2019,65.25741337366033
Køge,2022,59.65407695022944
Lejre,2007,48.19005375333609
Lejre,2011,51.71068761841079
Lejre,2015,41.52160369406677
Lejre,2019,38.69015839117281
Lejre,2022,42.29096181730304
Roskilde,2007,95.51724565295525
Roskilde,2011,114.46363614463637
Roskilde,2015,100.14784116969139
Roskilde,2019,80.45412493004237
Roskilde,2022,68.56675363728829
Solrød,2007,58.86603400934534
Solrød,2011,67.79661016949153
Solrød,2015,58.7856189292455
Solrød,2019,52.86970010341262
Solrød,2022,49.657247951847516
Faxe,2007,61.55062397650912
Faxe,2011,75.4925898586111
Faxe,2015,64.88098587586518
Faxe,2019,48.13800657174151
Faxe,2022,52.24020831655526
Guldborgsund,2007,86.87161395993448
Guldborgsund,2011,83.3508327006639
Guldborgsund,2015,78.40044687597549
Guldborgsund,2019,83.70232588763972
Guldborgsund,2022,65.10865244468
Holbæk,2007,74.77177220692653
Holbæk,2011,78.36331427419239
Holbæk,2015,61.35787074859182
Holbæk,2019,61.478392297357814
Holbæk,2022,61.497982331770096
Kalundborg,2007,77.96071809098768
Kalundborg,2011,77.82380444590271
Kalundborg,2015,60.4623470477129
Kalundborg,2019,62.092984914681395
Kalundborg,2022,59.736149926023344
Lolland,2007,88.53356560691843
Lolland,2011,99.75380286643805
Lolland,2015,128.34850150901903
Lolland,2019,118.12854167675691
Lolland,2022,85.34697953070395
Næstved,2007,73.19278600802656
Næstved,2011,79.77324095001667
Næstved,2015,68.5484852171797
Næstved,2019,61.12607629034586
Næstved,2022,61.5481033014852
Odsherred,2007,69.75761417489208
Odsherred,2011,93.18251299296851
Odsherred,2015,65.16573239093346
Odsherred,2019,70.25704533784396
Odsherred,2022,70.83421586129687
Ringsted,2007,87.3738003240683
Ringsted,2011,82.72336821728874
Ringsted,2015,80.82529978838467
Ringsted,2019,61.232123845423416
Ringsted,2022,58.51464961036785
Slagelse,2007,92.49002672450521
Slagelse,2011,102.64100210711378
Slagelse,2015,99.8393419446051
Slagelse,2019,81.62309299234032
Slagelse,2022,66.95886293907708
Sorø,2007,61.514736120630566
Sorø,2011,73.19727891156462
Sorø,2015,66.0607704829083
Sorø,2019,58.66202370588629
Sorø,2022,43.32738449335713
Stevns,2007,40.243011145623974
Stevns,2011,42.489937797292356
Stevns,2015,41.121158950825574
Stevns,2019,35.16512318713961
Stevns,2022,40.068881515393336
Vordingborg,2007,76.60944206008584
Vordingborg,2011,86.59771366358193
Vordingborg,2015,69.4377597899803
Vordingborg,2019,60.913594318530535
Vordingborg,2022,66.37333626663734
Region Syddanmark,2007,87.28264718216663
Region Syddanmark,2011,92.00034960232735
Region Syddanmark,2015,71.0296728819455
Region Syddanmark,2019,68.59580976783937
Region Syddanmark,2022,63.832436216879586
Assens,2007,58.32976649070243
Assens,2011,58.167868947381116
Assens,2015,43.277525332296555
Assens,2019,53.92109108621529
Assens,2022,40.231146221929635
Faaborg-Midtfyn,2007,45.73628488931665
Faaborg-Midtfyn,2011,63.86392190973229
Faaborg-Midtfyn,2015,45.54428350827811
Faaborg-Midtfyn,2019,41.655354303223056
Faaborg-Midtfyn,2022,43.19223613801569
Kerteminde,2007,56.74989420228523
Kerteminde,2011,54.75989890480202
Kerteminde,2015,48.38574423480084
