parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,Egedal,2022,27838
GYLDIGE STEMMER I ALT,Fredensborg,2007,24147
GYLDIGE STEMMER I ALT,Fredensborg,2011,24588
GYLDIGE STEMMER I ALT,Fredensborg,2015,24285
GYLDIGE STEMMER I ALT,Fredensborg,2019,24516
GYLDIGE STEMMER I ALT,Fredensborg,2022,24226
GYLDIGE STEMMER I ALT,Frederikssund,2007,28155
GYLDIGE STEMMER I ALT,Frederikssund,2011,28767
GYLDIGE STEMMER I ALT,Frederikssund,2015,28707
GYLDIGE STEMMER I ALT,Frederikssund,2019,28843
GYLDIGE STEMMER I ALT,Frederikssund,2022,29120
GYLDIGE STEMMER I ALT,Furesø,2007,23712
GYLDIGE STEMMER I ALT,Furesø,2011,24048
GYLDIGE STEMMER I ALT,Furesø,2015,24403
GYLDIGE STEMMER I ALT,Furesø,2019,24795
GYLDIGE STEMMER I ALT,Furesø,2022,25022
GYLDIGE STEMMER I ALT,Gribskov,2007,26228
GYLDIGE STEMMER I ALT,Gribskov,2011,27092
GYLDIGE STEMMER I ALT,Gribskov,2015,26883
GYLDIGE STEMMER I ALT,Gribskov,2019,26494
GYLDIGE STEMMER I ALT,Gribskov,2022,26546
GYLDIGE STEMMER I ALT,Halsnæs,2007,19360
GYLDIGE STEMMER I ALT,Halsnæs,2011,19893
GYLDIGE STEMMER I ALT,Halsnæs,2015,19483
GYLDIGE STEMMER I ALT,Halsnæs,2019,19418
GYLDIGE STEMMER I ALT,Halsnæs,2022,19391
GYLDIGE STEMMER I ALT,Helsingør,2007,37696
GYLDIGE STEMMER I ALT,Helsingør,2011,38445
GYLDIGE STEMMER I ALT,Helsingør,2015,38269
GYLDIGE STEMMER I ALT,Helsingør,2019,38463
GYLDIGE STEMMER I ALT,Helsingør,2022,38554
GYLDIGE STEMMER I ALT,Hillerød,2007,29219
GYLDIGE STEMMER I ALT,Hillerød,2011,30541
GYLDIGE STEMMER I ALT,Hillerød,2015,30827
GYLDIGE STEMMER I ALT,Hillerød,2019,31560
