stemmested,year,change
Solrød,2015,11.0
Solrød,2019,8.2
Solrød,2022,17.7
Faxe,2007,8.6
Faxe,2011,-4.7
Faxe,2015,11.9
Faxe,2019,1.7
Faxe,2022,4.9
Guldborgsund,2007,-0.7
Guldborgsund,2011,-10.7
Guldborgsund,2015,2.5
Guldborgsund,2019,-3.4
Guldborgsund,2022,-1.3
Holbæk,2007,8.2
Holbæk,2011,-1.5
Holbæk,2015,13.6
Holbæk,2019,3.4
Holbæk,2022,8.7
Kalundborg,2007,7.4
Kalundborg,2011,-9.3
Kalundborg,2015,3.9
Kalundborg,2019,-5.0
Kalundborg,2022,4.8
Lolland,2007,-8.5
Lolland,2011,-18.9
Lolland,2015,-9.0
Lolland,2019,-12.3
Lolland,2022,-4.6
Næstved,2007,7.5
Næstved,2011,0.6
Næstved,2015,8.0
Næstved,2019,1.8
Næstved,2022,9.2
Odsherred,2007,4.5
Odsherred,2011,-6.2
Odsherred,2015,4.6
Odsherred,2019,-5.0
Odsherred,2022,2.9
Ringsted,2007,19.8
Ringsted,2011,8.0
Ringsted,2015,13.6
Ringsted,2019,3.7
Ringsted,2022,21.8
Slagelse,2007,6.6
Slagelse,2011,-1.7
Slagelse,2015,11.0
Slagelse,2019,0.0
Slagelse,2022,0.5
Sorø,2007,7.7
Sorø,2011,-3.6
Sorø,2015,7.2
Sorø,2019,1.6
Sorø,2022,14.2
Stevns,2007,2.9
Stevns,2011,0.0
Stevns,2015,10.1
Stevns,2019,1.0
Stevns,2022,9.3
Vordingborg,2007,2.5
Vordingborg,2011,-7.9
Vordingborg,2015,7.4
Vordingborg,2019,-5.5
Vordingborg,2022,2.0
Assens,2007,5.7
Assens,2011,-4.6
Assens,2015,4.3
Assens,2019,-6.0
Assens,2022,-0.7
Faaborg-Midtfyn,2007,6.5
Faaborg-Midtfyn,2011,-5.6
Faaborg-Midtfyn,2015,5.6
Faaborg-Midtfyn,2019,-4.9
Faaborg-Midtfyn,2022,7.8
Kerteminde,2007,4.5
Kerteminde,2011,1.5
Kerteminde,2015,6.4
Kerteminde,2019,1.6
Kerteminde,2022,-1.8
Langeland,2007,-14.1
Langeland,2011,-17.1
Langeland,2015,-7.9
Langeland,2019,-5.5
Langeland,2022,5.5
Middelfart,2007,13.7
Middelfart,2011,-2.4
Middelfart,2015,1.5
Middelfart,2019,7.8
Middelfart,2022,9.0
Nordfyns,2007,9.4
Nordfyns,2011,-6.0
Nordfyns,2015,9.2
Nordfyns,2019,-0.9
Nordfyns,2022,0.4
Nyborg,2007,3.1
Nyborg,2011,-0.4
Nyborg,2015,9.9
Nyborg,2019,-1.0
Nyborg,2022,5.1
Odense,2007,1.0
Odense,2011,7.2
Odense,2015,7.6
Odense,2019,3.5
Odense,2022,8.7
Svendborg,2007,5.6
Svendborg,2011,-2.8
Svendborg,2015,4.1
Svendborg,2019,-5.2
Svendborg,2022,9.2
Ærø,2007,-12.1
Ærø,2011,-4.1
Ærø,2015,2.2
Ærø,2019,-15.5
Ærø,2022,-2.8
Billund,2007,1.8
Billund,2011,2.5
Billund,2015,5.7
Billund,2019,-0.8
Billund,2022,14.6
Esbjerg,2007,0.8
Esbjerg,2011,-0.6
Esbjerg,2015,2.6
Esbjerg,2019,-1.5
Esbjerg,2022,2.6
Fanø,2007,6.9
Fanø,2011,11.8
Fanø,2015,8.3
Fanø,2019,24.7
Fanø,2022,-0.3
Fredericia,2007,4.1
Fredericia,2011,1.8
Fredericia,2015,5.2
Fredericia,2019,-1.0
Fredericia,2022,11.0
Haderslev,2007,2.5
Haderslev,2011,1.3
Haderslev,2015,2.5
Haderslev,2019,-3.3
Haderslev,2022,0.2
Kolding,2007,6.9
Kolding,2011,2.3
Kolding,2015,9.9
Kolding,2019,3.0
Kolding,2022,10.5
Sønderborg,2007,1.1
Sønderborg,2011,-1.3
Sønderborg,2015,-2.7
Sønderborg,2019,-4.6
Sønderborg,2022,9.1
Tønder,2007,0.9
Tønder,2011,-9.7
Tønder,2015,-2.8
Tønder,2019,-5.9
Tønder,2022,0.8
Varde,2007,5.5
Varde,2011,-3.1
Varde,2015,3.3
Varde,2019,-3.4
Varde,2022,6.7
Vejen,2007,13.5
Vejen,2011,2.4
Vejen,2015,6.3
Vejen,2019,-2.8
Vejen,2022,7.7
Vejle,2007,8.0
Vejle,2011,7.5
Vejle,2015,11.5
Vejle,2019,8.0
Vejle,2022,15.9
Aabenraa,2007,2.4
Aabenraa,2011,-3.3
Aabenraa,2015,-0.6
Aabenraa,2019,-4.6
Aabenraa,2022,5.3
Favrskov,2007,12.6
Favrskov,2011,4.8
Favrskov,2015,2.8
Favrskov,2019,0.5
Favrskov,2022,10.8
Hedensted,2007,14.9
Hedensted,2011,1.1
Hedensted,2015,2.5
Hedensted,2019,-0.5
Hedensted,2022,10.8
Horsens,2007,13.7
Horsens,2011,9.2
Horsens,2015,15.9
Horsens,2019,6.6
Horsens,2022,21.6
Norddjurs,2007,6.5
Norddjurs,2011,-4.0
Norddjurs,2015,6.5
Norddjurs,2019,-15.7
Norddjurs,2022,1.5
Odder,2007,4.3
Odder,2011,-4.7
Odder,2015,9.3
Odder,2019,7.5
Odder,2022,13.8
Randers,2007,7.1
Randers,2011,4.6
Randers,2015,7.4
Randers,2019,-1.1
Randers,2022,9.5
Samsø,2007,-10.9
Samsø,2011,1.0
Samsø,2015,-6.2
Samsø,2019,-7.3
Samsø,2022,15.9
Silkeborg,2007,9.6
Silkeborg,2011,4.7
Silkeborg,2015,7.8
Silkeborg,2019,10.4
Silkeborg,2022,21.0
Skanderborg,2007,13.5
Skanderborg,2011,5.0
Skanderborg,2015,11.9
Skanderborg,2019,11.4
Skanderborg,2022,12.7
Syddjurs,2007,6.8
Syddjurs,2011,1.9
Syddjurs,2015,5.7
Syddjurs,2019,4.5
Syddjurs,2022,14.0
Aarhus,2007,8.0
Aarhus,2011,11.5
Aarhus,2015,13.5
Aarhus,2019,13.5
Aarhus,2022,17.8
Herning,2007,7.3
Herning,2011,5.8
Herning,2015,8.4
Herning,2019,2.4
Herning,2022,8.1
Holstebro,2007,7.7
Holstebro,2011,-0.1
Holstebro,2015,2.9
Holstebro,2019,1.5
Holstebro,2022,7.3
Ikast-Brande,2007,5.3
Ikast-Brande,2011,2.1
Ikast-Brande,2015,4.9
Ikast-Brande,2019,2.1
Ikast-Brande,2022,15.6
Lemvig,2007,-7.6
Lemvig,2011,-7.9
Lemvig,2015,-12.5
Lemvig,2019,-13.8
Lemvig,2022,-1.4
Ringkøbing-Skjern,2007,4.4
Ringkøbing-Skjern,2011,-3.0
Ringkøbing-Skjern,2015,1.7
Ringkøbing-Skjern,2019,-5.9
Ringkøbing-Skjern,2022,2.6
Skive,2007,0.2
Skive,2011,-7.6
Skive,2015,0.0
Skive,2019,-8.1
Skive,2022,-0.2
Struer,2007,3.6
Struer,2011,-4.1
Struer,2015,1.6
Struer,2019,-5.1
Struer,2022,-0.4
Viborg,2007,7.4
Viborg,2011,3.4
Viborg,2015,8.3
Viborg,2019,-2.0
Viborg,2022,9.1
Brønderslev,2007,2.3
Brønderslev,2011,-1.0
Brønderslev,2015,7.4
Brønderslev,2019,-1.8
Brønderslev,2022,9.6
Frederikshavn,2007,-2.0
Frederikshavn,2011,-6.8
Frederikshavn,2015,-2.2
Frederikshavn,2019,-5.6
Frederikshavn,2022,-0.2
Hjørring,2007,0.0
Hjørring,2011,-4.4
Hjørring,2015,1.8
Hjørring,2019,-2.8
Hjørring,2022,2.5
Jammerbugt,2007,4.4
Jammerbugt,2011,-3.1
Jammerbugt,2015,4.5
Jammerbugt,2019,-3.5
Jammerbugt,2022,4.6
Læsø,2007,-26.7
Læsø,2011,-26.7
Læsø,2015,12.3
Læsø,2019,-11.1
Læsø,2022,11.3
Mariagerfjord,2007,9.0
Mariagerfjord,2011,-3.4
Mariagerfjord,2015,-0.1
Mariagerfjord,2019,-6.1
Mariagerfjord,2022,4.7
Morsø,2007,-4.7
Morsø,2011,-5.8
Morsø,2015,-9.0
Morsø,2019,-7.6
Morsø,2022,-7.0
Rebild,2007,4.2
Rebild,2011,-1.0
Rebild,2015,10.0
Rebild,2019,6.6
Rebild,2022,8.5
Thisted,2007,-0.7
Thisted,2011,-5.2
Thisted,2015,-2.0
Thisted,2019,-5.4
Thisted,2022,6.8
Vesthimmerlands,2007,11.5
Vesthimmerlands,2011,-8.7
Vesthimmerlands,2015,-2.8
Vesthimmerlands,2019,-10.6
Vesthimmerlands,2022,2.9
Aalborg,2007,5.1
Aalborg,2011,9.8
Aalborg,2015,12.1
Aalborg,2019,8.2
Aalborg,2022,6.7
