parti,stemmested,year,stemmer
A. Socialdemokratiet,Egedal,2022,27.315180688267834
A. Socialdemokratiet,Fredensborg,2007,19.273615770074958
A. Socialdemokratiet,Fredensborg,2011,17.41093216203026
A. Socialdemokratiet,Fredensborg,2015,21.16121062384188
A. Socialdemokratiet,Fredensborg,2019,19.587208353728176
A. Socialdemokratiet,Fredensborg,2022,22.442830017336746
A. Socialdemokratiet,Frederikssund,2007,24.88012786361215
A. Socialdemokratiet,Frederikssund,2011,22.445858101296626
A. Socialdemokratiet,Frederikssund,2015,25.258647716584804
A. Socialdemokratiet,Frederikssund,2019,26.169261172554865
A. Socialdemokratiet,Frederikssund,2022,29.28914835164835
A. Socialdemokratiet,Furesø,2007,19.44585020242915
A. Socialdemokratiet,Furesø,2011,18.37574850299401
A. Socialdemokratiet,Furesø,2015,24.271605950088105
A. Socialdemokratiet,Furesø,2019,20.048396854204476
A. Socialdemokratiet,Furesø,2022,23.81903924546399
A. Socialdemokratiet,Gribskov,2007,19.696507549184076
A. Socialdemokratiet,Gribskov,2011,17.713716226192233
A. Socialdemokratiet,Gribskov,2015,20.6115388907488
A. Socialdemokratiet,Gribskov,2019,21.823809164339096
A. Socialdemokratiet,Gribskov,2022,24.482031191139907
A. Socialdemokratiet,Halsnæs,2007,27.24173553719008
A. Socialdemokratiet,Halsnæs,2011,25.501432664756447
A. Socialdemokratiet,Halsnæs,2015,28.32725966226967
A. Socialdemokratiet,Halsnæs,2019,29.096714388711504
A. Socialdemokratiet,Halsnæs,2022,33.72182971481615
A. Socialdemokratiet,Helsingør,2007,25.262627334465193
A. Socialdemokratiet,Helsingør,2011,23.64936922876837
A. Socialdemokratiet,Helsingør,2015,25.315529540881652
A. Socialdemokratiet,Helsingør,2019,24.75105945974053
A. Socialdemokratiet,Helsingør,2022,27.75846864138611
A. Socialdemokratiet,Hillerød,2007,24.282145179506486
A. Socialdemokratiet,Hillerød,2011,20.267836678563242
A. Socialdemokratiet,Hillerød,2015,23.836247445421222
A. Socialdemokratiet,Hillerød,2019,23.285804816223067
A. Socialdemokratiet,Hillerød,2022,23.720277158816884
A. Socialdemokratiet,Hørsholm,2007,11.748462407430651
A. Socialdemokratiet,Hørsholm,2011,10.423053341508277
A. Socialdemokratiet,Hørsholm,2015,14.632948686471888
A. Socialdemokratiet,Hørsholm,2019,11.468368411364056
A. Socialdemokratiet,Hørsholm,2022,13.388522345325532
A. Socialdemokratiet,Rudersdal,2007,13.442499201579421
A. Socialdemokratiet,Rudersdal,2011,11.642920114893496
A. Socialdemokratiet,Rudersdal,2015,16.543561956366748
A. Socialdemokratiet,Rudersdal,2019,12.776768479618486
A. Socialdemokratiet,Rudersdal,2022,14.232662821775214
A. Socialdemokratiet,Bornholm,2007,35.39299666678614
A. Socialdemokratiet,Bornholm,2011,35.85085341733206
A. Socialdemokratiet,Bornholm,2015,33.4440282658223
A. Socialdemokratiet,Bornholm,2019,33.983430451500375
A. Socialdemokratiet,Bornholm,2022,35.28505392912172
A. Socialdemokratiet,Christiansø,2007,19.696969696969695
A. Socialdemokratiet,Christiansø,2011,20.967741935483872
A. Socialdemokratiet,Christiansø,2015,40.0
A. Socialdemokratiet,Christiansø,2019,35.714285714285715
A. Socialdemokratiet,Christiansø,2022,32.20338983050848
A. Socialdemokratiet,Greve,2007,21.894141145139812
A. Socialdemokratiet,Greve,2011,20.025598109678054
A. Socialdemokratiet,Greve,2015,24.289618385960292
A. Socialdemokratiet,Greve,2019,24.719175149059524
A. Socialdemokratiet,Greve,2022,26.279227380548967
A. Socialdemokratiet,Køge,2007,25.95409176056141
A. Socialdemokratiet,Køge,2011,22.845751993401155
A. Socialdemokratiet,Køge,2015,25.617765814266487
A. Socialdemokratiet,Køge,2019,22.832716328867818
A. Socialdemokratiet,Køge,2022,25.276949296974863
A. Socialdemokratiet,Lejre,2007,22.027034734500656
A. Socialdemokratiet,Lejre,2011,19.096267190569744
A. Socialdemokratiet,Lejre,2015,23.81802958414736
A. Socialdemokratiet,Lejre,2019,22.51101321585903
A. Socialdemokratiet,Lejre,2022,24.130446578761735
A. Socialdemokratiet,Roskilde,2007,23.417963522349254
A. Socialdemokratiet,Roskilde,2011,21.36420223341199
A. Socialdemokratiet,Roskilde,2015,25.995091435847282
A. Socialdemokratiet,Roskilde,2019,23.77656323037647
A. Socialdemokratiet,Roskilde,2022,24.986749584820323
A. Socialdemokratiet,Solrød,2007,19.617547806524186
A. Socialdemokratiet,Solrød,2011,18.634444606201775
A. Socialdemokratiet,Solrød,2015,22.89494499173078
A. Socialdemokratiet,Solrød,2019,21.31226382686362
A. Socialdemokratiet,Solrød,2022,23.17750677506775
A. Socialdemokratiet,Faxe,2007,24.05365918448665
A. Socialdemokratiet,Faxe,2011,23.264507715713975
A. Socialdemokratiet,Faxe,2015,25.061924982307147
A. Socialdemokratiet,Faxe,2019,27.733545647558387
A. Socialdemokratiet,Faxe,2022,30.03314917127072
A. Socialdemokratiet,Guldborgsund,2007,30.703074607611267
A. Socialdemokratiet,Guldborgsund,2011,31.677349135324707
A. Socialdemokratiet,Guldborgsund,2015,31.921815889029002
A. Socialdemokratiet,Guldborgsund,2019,34.21988150098749
A. Socialdemokratiet,Guldborgsund,2022,36.206071561486525
A. Socialdemokratiet,Holbæk,2007,25.47616856827383
A. Socialdemokratiet,Holbæk,2011,25.876955067353766
A. Socialdemokratiet,Holbæk,2015,27.963979692632837
A. Socialdemokratiet,Holbæk,2019,29.05104176144118
A. Socialdemokratiet,Holbæk,2022,31.241464233740064
A. Socialdemokratiet,Kalundborg,2007,24.48831332912192
A. Socialdemokratiet,Kalundborg,2011,24.87282378590161
A. Socialdemokratiet,Kalundborg,2015,26.55106842427563
A. Socialdemokratiet,Kalundborg,2019,28.26281139378701
